Spanish,English
dije,said
oye,hears
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,these
aún,still
mío,Own
toda,all
hacerlo,do it
cada,each
visto,viewed
importa,matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,made
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,trouble
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,past
familia,family
estos,these
policía,policeman
debería,should
ustedes,your
chica,girl
esos,those
chicos,Boys
cuenta,account
haces,you do
todavía,yet
salir,leave
algún,some
vaya,Wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,Dear
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I shall
sería,would
caso,case
pueden,they can
pasó,step
primera,first
genial,cool
chico,guy
supuesto,supposed
hice,I did
pues,well
adiós,goodbye
muchas,many
personas,people
señora,Ms
volver,return
esas,those
quizá,maybe
contra,against
camino,road
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,story
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,door
ves,you see
pasar,happen
primero,First
significa,Means
semana,week
hacia,toward
quizás,maybe
espero,I hope
juntos,together
año,year
niños,kids
pronto,early
tío,uncle
suerte,lucky
ciudad,town
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,let
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,afraid
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,go ahead
encontrar,find
mano,hand
cinco,five
niño,boy
ninguna,none
otros,others
cara,expensive
cuidado,careful
bajo,under
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,Quite
fin,end
tomar,drink
único,unique
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,go on
haya,is
equipo,team
grande,big
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,even if
hubiera,had
primer,first
coche,car
hago,do
clase,class
cuatro,four
mas,more
dices,say
pequeño,small
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,same
loco,mad
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,Dyed
juego,play
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,must
oportunidad,chance
teléfono,telephone
necesitamos,need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,guilt
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,question
chicas,girls
eran,they were
unas,nails
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,food
morir,To die
conozco,know
fácil,easy
comer,eat
vino,wine
lista,ready
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,fathers
habitación,bedroom
creer,believe
pensando,thinking
fueron,They were
dime,tell me
